final_rank	top10_rank	candidate_id	parent_id	mechanism_rank_semantics	manufacturability_proxy_tier	prior_proxy_risk_reasons	tnp_component_evidence_completeness	tnp_L	tnp_L3	tnp_C	tnp_PSH	tnp_PPC	tnp_PNC	tnp_status	tnp_total_cdr_length	tnp_cdr3_length	tnp_cdr3_compactness	tnp_psh	tnp_ppc	tnp_pnc	median_largest_hydrophobic_patch_residues	median_largest_hydrophobic_patch_free_sasa_a2	median_largest_positive_patch_residues	median_largest_negative_patch_residues	minimum_c_terminal_target_distance_a	c_terminal_contact_pose_count	exposed_noncontact_acid_clipping_rows	exposed_noncontact_isomerization_rows	structural_ptm_review_status	format_review_status	additional_review_flags	claim_boundary
40		P1MCPUFP__CPUFP500K_0134__00713	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.3313556140819076	108.1772	0.3135	0.2316	4.000000	184.890970	5.500000	3.000000	31.121326	0	16	26	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
41		P1MCPUFP__CPUFP500K_0030__00860	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.3565638026619502	95.2324	0.0	0.0706	9.000000	476.563081	3.000000	2.000000	32.686816	0	0	25	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
42		P1MCPUFP__CPUFP500K_0504__00926	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4351903996363518	124.3541	0.0461	0.2278	7.000000	340.838445	3.000000	2.000000	28.154060	0	0	31	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
43		P1MCPUFP__CPUFP500K_0206__00634	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.442789200627278	97.3943	0.0	1.3843	9.000000	484.811563	3.000000	4.000000	25.713457	0	0	25	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
44		P1MCPUFP__CPUFP500K_0228__00457	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.3693660734989808	125.3393	0.0	0.0	9.000000	470.291498	3.000000	1.000000	30.551516	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
45		P1MCPUFP__CPUFP500K_0504__00900	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.440923836653244	110.4149	0.0775	0.0908	8.000000	359.320508	6.000000	2.000000	28.138618	0	0	31	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
46		P1MCPUFP__CPUFP500K_0034__00437	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.286810696982664	104.4088	0.0443	0.1569	4.000000	260.447173	3.000000	4.000000	31.402732	0	13	29	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
47		P1MCPUFP__CPUFP500K_0091__00172	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor	COMPLETE_PATCHED_ALL50	green	green	green	amber	green	green	COMPLETE_REVIEW	36	19	1.4896489058946079	142.5105	0.0	0.0	19.000000	1240.822640	3.000000	1.000000	33.960976	0	14	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
48		P1MCPUFP__CPUFP500K_0190__00879	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4538289677255998	112.9161	0.0	0.4525	15.000000	806.429095	3.000000	3.000000	31.166309	0	9	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
49		P1MCPUFP__CPUFP500K_0091__00440	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70;instability_index_gt50	COMPLETE_PATCHED_ALL50	green	green	green	amber	red	green	COMPLETE_REVIEW	36	19	1.4999186822592099	137.3645	1.1965	0.0912	12.500000	723.303653	3.500000	1.000000	28.497287	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
50		P1MCPUFP__CPUFP500K_0133__00282	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.30344332996061	98.2129	0.0	0.0636	8.000000	423.004989	3.000000	2.000000	33.104770	0	8	32	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
