competition_submission_priority	portfolio_status	candidate_id	mechanism_rank	previous_top10_rank	parent_id	cdr3_diversity_cluster	manufacturability_proxy_tier	prior_proxy_risk_reasons	tnp_PSH	tnp_PPC	tnp_PNC	glycan_accessibility_status	membrane_orientation_status	affinity_consensus_rank	affinity_consensus_status	unconstrained_independent_complex_decision	selection_reason	required_pre_submission_check	claim_boundary
37	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0504__00926	42		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
38	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0206__00634	43		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
39	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0504__00900	45		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D2_REVIEW	conservative_developability_gate_fail	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
40	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0484__00056	20		case02_pos_10_151H7	CDR3CL_0118	D3_HIGH_REVIEW	expression_proxy_lt70	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
41	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0388__00663	29		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor	green	red	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
42	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0287__00389	30		case02_pos_10_151H7	CDR3CL_0002	D3_HIGH_REVIEW	expression_proxy_lt70	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
43	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0289__00496	31		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor	amber	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
44	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0091__00849	32		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor	amber	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
45	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0388__00174	33		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor	amber	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
46	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0487__00827	34		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70;instability_index_gt50	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
47	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0388__00797	36		case02_pos_11_151H8	CDR3CL_0106	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70	green	red	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
48	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0091__00172	47		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor	amber	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
49	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0190__00879	48		case02_pos_11_151H8	CDR3CL_0007	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
50	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0091__00440	49		case02_pos_11_151H8	CDR3CL_0027	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70;instability_index_gt50	amber	red	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
