candidate_id	final_rank	pose_count	alignment_ca_count_min	alignment_ca_count_median	alignment_ca_count_max	alignment_ca_rmsd_a_min	alignment_ca_rmsd_a_median	alignment_ca_rmsd_a_max	pvrig_vhh_residue_pair_contacts_4p5a_min	pvrig_vhh_residue_pair_contacts_4p5a_median	pvrig_vhh_residue_pair_contacts_4p5a_max	pvrig_vhh_residue_pair_clashes_2a_min	pvrig_vhh_residue_pair_clashes_2a_median	pvrig_vhh_residue_pair_clashes_2a_max	pvrig_contact_residue_count_min	pvrig_contact_residue_count_median	pvrig_contact_residue_count_max	vhh_contact_residue_count_min	vhh_contact_residue_count_median	vhh_contact_residue_count_max	hotspot_overlap_count_min	hotspot_overlap_count_median	hotspot_overlap_count_max	core_hotspot_overlap_count_min	core_hotspot_overlap_count_median	core_hotspot_overlap_count_max	cdr_contact_residue_fraction_min	cdr_contact_residue_fraction_median	cdr_contact_residue_fraction_max	cdr3_contact_residue_fraction_min	cdr3_contact_residue_fraction_median	cdr3_contact_residue_fraction_max	pvrl2_vhh_residue_pair_occlusion_4p5a_min	pvrl2_vhh_residue_pair_occlusion_4p5a_median	pvrl2_vhh_residue_pair_occlusion_4p5a_max	pvrl2_vhh_residue_pair_clashes_2a_min	pvrl2_vhh_residue_pair_clashes_2a_median	pvrl2_vhh_residue_pair_clashes_2a_max	cdr1_pvrl2_occlusion_min	cdr1_pvrl2_occlusion_median	cdr1_pvrl2_occlusion_max	cdr2_pvrl2_occlusion_min	cdr2_pvrl2_occlusion_median	cdr2_pvrl2_occlusion_max	cdr3_pvrl2_occlusion_min	cdr3_pvrl2_occlusion_median	cdr3_pvrl2_occlusion_max	cdr3_occlusion_fraction_min	cdr3_occlusion_fraction_median	cdr3_occlusion_fraction_max	framework_occlusion_fraction_min	framework_occlusion_fraction_median	framework_occlusion_fraction_max	vhh_sequence_matches_table_fraction	R95_contact_fraction	nterm_pvrig_contact_fraction	cterm_pvrig_contact_fraction	nterm_pvrl2_occlusion_fraction	cterm_pvrl2_occlusion_fraction	strict_mechanism_pose_fraction
P1MCPUFP__CPUFP500K_0134__00289	37	8	103.0	105.5	108.0	0.4742136607968344	0.5020087913129583	0.5774450183025948	48.0	50.5	54.0	0.0	0.0	0.0	18.0	19.0	21.0	21.0	23.5	25.0	14.0	15.0	17.0	13.0	14.0	15.0	0.8095238095238095	0.8722826086956521	0.92	0.2857142857142857	0.3333333333333333	0.4	673.0	721.5	800.0	176.0	192.0	218.0	31.0	40.0	64.0	60.0	78.0	87.0	129.0	140.5	191.0	0.17269076305220885	0.2042646775969682	0.24331210191082803	0.5987261146496815	0.621875	0.6572958500669344	1.0	1.0	0.375	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0128__00809	38	8	103.0	105.5	108.0	0.45088302969820215	0.4758896622344963	0.5399459159739577	40.0	47.0	51.0	0.0	0.0	0.0	17.0	19.0	20.0	17.0	19.0	20.0	15.0	16.0	17.0	15.0	15.0	16.0	0.8888888888888888	0.9205882352941177	0.9473684210526315	0.2631578947368421	0.31666666666666665	0.3684210526315789	751.0	984.5	1051.0	197.0	263.0	290.0	45.0	56.0	77.0	31.0	88.5	92.0	110.0	138.0	173.0	0.11156186612576065	0.1366032954842525	0.2069377990430622	0.6271637816245007	0.7211851943421643	0.7411988582302569	1.0	0.125	0.875	0.0	1.0	0.875	0.25
P1MCPUFP__CPUFP500K_0130__00610	39	8	103.0	105.5	108.0	0.47496788951643765	0.5646120307585116	0.640394118786204	38.0	47.5	55.0	0.0	0.0	0.0	17.0	21.0	22.0	17.0	22.0	23.0	15.0	16.5	18.0	15.0	15.0	17.0	0.8181818181818182	0.9130434782608695	1.0	0.2727272727272727	0.391304347826087	0.4444444444444444	722.0	783.0	863.0	195.0	202.0	214.0	53.0	59.0	76.0	37.0	88.5	101.0	142.0	157.5	176.0	0.17466174661746617	0.2021633109694621	0.21335078534031413	0.5914127423822715	0.6111031360874353	0.6651216685979142	1.0	0.875	0.75	0.0	1.0	0.25	1.0
P1MCPUFP__CPUFP500K_0134__00713	40	8	103.0	105.5	108.0	0.43553917283431703	0.4873206490049634	0.5562958531199179	38.0	50.0	56.0	0.0	0.0	0.0	17.0	18.5	20.0	16.0	20.0	24.0	15.0	16.0	16.0	15.0	16.0	16.0	0.85	0.9045454545454545	1.0	0.2	0.23863636363636365	0.2777777777777778	790.0	906.0	967.0	203.0	231.0	238.0	60.0	68.0	72.0	73.0	83.0	94.0	165.0	187.5	197.0	0.20209424083769634	0.20494533924164832	0.21303841676367868	0.6088607594936709	0.6288750964754308	0.6387434554973822	1.0	0.125	0.125	0.0	1.0	0.5	1.0
P1MCPUFP__CPUFP500K_0030__00860	41	8	103.0	105.5	108.0	0.4621199778249775	0.5106670995826809	0.5648065823291861	41.0	45.5	59.0	0.0	0.0	0.0	15.0	18.0	23.0	22.0	22.0	25.0	15.0	15.5	20.0	14.0	14.5	19.0	0.76	0.8636363636363636	0.9090909090909091	0.2	0.36363636363636365	0.4090909090909091	663.0	740.0	783.0	173.0	184.5	202.0	50.0	58.5	62.0	87.0	93.0	97.0	127.0	133.0	186.0	0.1723202170963365	0.18053104258923214	0.23754789272030652	0.5721583652618135	0.6095945624420716	0.6255088195386703	1.0	1.0	1.0	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0504__00926	42	8	103.0	105.5	108.0	0.5183775579866701	0.5568112750783218	0.7952544240592615	35.0	45.0	51.0	0.0	0.0	0.0	16.0	20.0	22.0	18.0	21.0	25.0	16.0	19.0	20.0	15.0	18.0	19.0	0.8421052631578947	0.9047619047619048	0.9444444444444444	0.3684210526315789	0.5486111111111112	0.65	434.0	658.5	892.0	112.0	171.5	224.0	75.0	106.0	118.0	17.0	50.5	59.0	92.0	143.0	190.0	0.1953125	0.2132095592256371	0.2238372093023256	0.5112903225806451	0.5601177371082597	0.6042600896860987	1.0	1.0	1.0	0.0	1.0	0.125	0.875
P1MCPUFP__CPUFP500K_0206__00634	43	8	103.0	105.5	108.0	0.4923478287513701	0.5629696628687427	0.6104259826779216	37.0	47.5	51.0	0.0	0.0	0.0	18.0	20.0	21.0	15.0	19.5	21.0	13.0	16.5	19.0	12.0	15.5	18.0	0.75	0.8	0.8888888888888888	0.5	0.5527777777777778	0.6666666666666666	724.0	837.0	931.0	181.0	213.0	236.0	37.0	53.5	107.0	19.0	40.0	48.0	118.0	178.5	202.0	0.16298342541436464	0.20910344346126325	0.24574209245742093	0.5902061855670103	0.6722745371345835	0.7596685082872928	1.0	1.0	1.0	0.0	1.0	0.875	0.875
P1MCPUFP__CPUFP500K_0228__00457	44	8	103.0	105.5	108.0	0.4583528470009131	0.5257098067515147	0.6213674969910246	43.0	47.0	50.0	0.0	0.0	0.0	17.0	23.0	25.0	18.0	19.5	22.0	13.0	16.5	17.0	13.0	15.5	16.0	0.7727272727272727	0.945906432748538	0.9523809523809523	0.18181818181818182	0.3483709273182957	0.4	647.0	786.5	809.0	169.0	198.0	207.0	44.0	48.5	69.0	47.0	80.0	87.0	137.0	152.0	192.0	0.1697645600991326	0.1907773220064088	0.28593508500772796	0.5471406491499228	0.6399015338619525	0.6654275092936803	1.0	1.0	0.0	0.0	1.0	0.0	0.875
P1MCPUFP__CPUFP500K_0504__00900	45	8	103.0	105.5	108.0	0.46383990784958384	0.5308440539667763	0.552156743598099	35.0	44.5	48.0	0.0	0.0	0.0	15.0	20.0	21.0	14.0	16.0	17.0	13.0	18.0	19.0	11.0	18.0	18.0	0.8125	0.875	1.0	0.4117647058823529	0.4980392156862745	0.5625	365.0	694.0	808.0	93.0	177.5	219.0	66.0	101.0	116.0	10.0	92.0	100.0	134.0	177.0	189.0	0.17585301837270342	0.2701713623650623	0.3863013698630137	0.4054794520547945	0.4445216159929902	0.568241469816273	1.0	0.625	0.875	0.0	1.0	0.0	0.875
P1MCPUFP__CPUFP500K_0034__00437	46	8	103.0	105.5	108.0	0.4666450838166351	0.526457327147728	0.628260185168023	47.0	50.5	56.0	0.0	0.0	0.0	19.0	21.5	23.0	18.0	20.5	22.0	15.0	16.0	18.0	14.0	15.0	16.0	0.8947368421052632	0.9282296650717703	1.0	0.3157894736842105	0.3568181818181818	0.3888888888888889	687.0	758.0	799.0	182.0	188.0	201.0	38.0	45.5	51.0	75.0	80.5	87.0	140.0	144.5	152.0	0.17766497461928935	0.1899838325758657	0.21529745042492918	0.61863173216885	0.6381336814837555	0.655819774718398	1.0	1.0	0.0	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0091__00172	47	8	103.0	105.5	108.0	0.5091875282293287	0.5507320077915949	0.6727341796120987	41.0	51.0	60.0	0.0	0.0	0.0	20.0	22.5	27.0	15.0	22.0	24.0	15.0	18.0	20.0	14.0	16.5	19.0	0.782608695652174	0.9287439613526569	0.9583333333333334	0.391304347826087	0.4880952380952381	0.5416666666666666	579.0	701.5	799.0	141.0	176.5	200.0	54.0	66.0	92.0	29.0	48.0	80.0	140.0	173.0	196.0	0.213089802130898	0.23708077125392246	0.29015544041450775	0.48186528497409326	0.5959313376098836	0.646095717884131	1.0	1.0	1.0	0.0	1.0	0.375	1.0
P1MCPUFP__CPUFP500K_0190__00879	48	8	103.0	105.5	108.0	0.4491985574572831	0.5321280033517484	0.5975835791534089	31.0	41.5	50.0	0.0	0.0	0.0	14.0	19.0	23.0	15.0	18.5	21.0	13.0	17.0	19.0	12.0	17.0	18.0	0.8666666666666667	0.8973684210526316	0.9523809523809523	0.42105263157894735	0.6055555555555556	0.7058823529411765	587.0	816.0	875.0	136.0	203.5	228.0	74.0	84.0	100.0	41.0	51.5	66.0	111.0	174.0	199.0	0.17333333333333334	0.21225842536176695	0.22936893203883496	0.5332197614991482	0.6163366336633663	0.6417910447761194	1.0	1.0	1.0	0.0	1.0	0.25	0.875
P1MCPUFP__CPUFP500K_0091__00440	49	8	103.0	105.5	108.0	0.40447097981307234	0.5069910421080593	0.6329693413542209	29.0	43.0	57.0	0.0	0.0	0.0	14.0	19.0	22.0	14.0	17.5	22.0	14.0	16.0	21.0	12.0	15.0	20.0	0.75	0.9019138755980861	0.9473684210526315	0.1875	0.6396103896103896	0.6842105263157895	538.0	848.5	967.0	128.0	214.0	252.0	59.0	86.5	115.0	38.0	61.5	85.0	167.0	182.5	210.0	0.1986062717770035	0.2151735137216081	0.3104089219330855	0.42193308550185876	0.6219457735247209	0.6422764227642277	1.0	0.625	1.0	0.0	1.0	0.625	1.0
P1MCPUFP__CPUFP500K_0133__00282	50	8	103.0	105.5	108.0	0.48068449506925576	0.5452518670821187	0.6431743437312948	32.0	45.5	49.0	0.0	0.0	0.0	15.0	18.0	20.0	13.0	18.5	21.0	15.0	16.5	19.0	14.0	16.5	18.0	0.8823529411764706	0.945906432748538	0.9523809523809523	0.35294117647058826	0.424812030075188	0.6153846153846154	716.0	793.5	920.0	184.0	200.5	235.0	60.0	88.0	98.0	27.0	43.5	84.0	138.0	162.0	171.0	0.17676767676767677	0.1945974841140512	0.21132075471698114	0.6215083798882681	0.6414141414141414	0.6530612244897959	1.0	0.75	0.875	0.0	1.0	0.0	1.0
